rk,player,nation,pos,squad,age,born,90s,ga,pka,fk,ck,og,psxg,psxg_sot,psxg_exp,90,cmp,att,cmp_launch,att_gk,thr,launch,avglen,att_goal_k,launch_goal_k,avglen_goal_k,opp,stp,stp_crosse,opa,opa_90,avgdist,matches
1,Übeyd Adıyaman,tr TUR,GK,Gençlerbirliği,22,1997,4.0,11,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
2,Gökhan Akkan,tr TUR,GK,Rizespor,25,1995,31.3,54,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
3,Doğan Alemdar,tr TUR,GK,Kayserispor,17,2002,28.0,36,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
4,Akın Alkan,,GK,Hatayspor,31,1989,3.5,7,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
5,Hüseyin Altıntaş,tr TUR,GK,Denizlispor,25,1994,2.5,8,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
6,Yavuz Aygün,tr TUR,GK,Fatih Karagümrük,24,1996,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
7,Volkan Babacan,tr TUR,GK,Başakşehir,31,1988,19.0,28,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
8,Göktuğ Bakırbaş,tr TUR,GK,Erzurum BB,24,1996,2.5,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
9,Altay Bayındır,tr TUR,GK,Fenerbahçe,22,1998,33.0,31,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
10,Eray Birniçan,tr TUR,GK,Konyaspor,32,1988,10.0,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
11,Ruud Boffin,be BEL,GK,Antalyaspor,32,1987,35.0,50,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
12,Mustafa Burak Bozan,,GK,Gaziantep FK,19,2000,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
13,Uğurcan Çakır,tr TUR,GK,Trabzonspor,24,1996,38.0,37,7,,,,,,,,,,,,,,,,,,,,,,,,Matches
14,İrfan Can Eğribayat,tr TUR,GK,Göztepe,22,1998,35.0,48,9,,,,,,,,,,,,,,,,,,,,,,,,Matches
15,Erdem Canpolat,de GER,GK,Kasımpaşa,19,2001,1.0,2,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
16,José Carlos Marafona,pt POR,GK,Alanyaspor,33,1987,37.0,42,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
17,Korcan Çelikay,tr TUR,GK,Ankaragücü,32,1987,16.0,25,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
18,Tarık Çetin,tr TUR,GK,Rizespor,23,1997,6.7,14,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
19,İsmail Çipe,tr TUR,GK,Kayserispor,25,1995,4.5,7,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
20,Abdulsamed Damlu,tr TUR,GK,Yeni Mal'spor,21,1999,13.0,18,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
21,Ersin Destanoğlu,tr TUR,GK,Beşiktaş,19,2001,34.6,35,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
22,Kayacan Erdoğan,tr TUR,GK,Erzurum BB,32,1988,4.9,9,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
23,Erten Ersu,tr TUR,GK,Konyaspor,26,1994,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
24,Fabien Farnolle,bj BEN,GK,Erzurum BB,35,1984,12.5,23,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
25,Cenk Gönen,tr TUR,GK,Denizlispor,32,1988,15.5,25,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist,Matches
26,Zafer Görgen,,GK,Rizespor,20,2000,2.0,1,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
27,Mert Günok,tr TUR,GK,Başakşehir,31,1989,21.0,27,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
28,Günay Güvenç,tr TUR,GK,Gaziantep FK,29,1991,38.0,48,6,,,,,,,,,,,,,,,,,,,,,,,,Matches
29,Guido Herrera,ar ARG,GK,Yeni Mal'spor,28,1992,3.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
30,Ferhat Kaplan,tr TUR,GK,Antalyaspor,31,1989,5.0,6,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
31,Erce Kardeşler,tr TUR,GK,Trabzonspor,26,1994,1.0,1,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
32,Serkan Kırıntılı,tr TUR,GK,Alanyaspor,35,1985,3.0,4,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
33,Okan Kocuk,tr TUR,GK,Galatasaray,25,1995,10.0,11,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
34,Ramazan Köse,tr TUR,GK,Kasımpaşa,32,1988,20.0,27,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
35,Silviu Lung Jr.,ro ROU,GK,Kayserispor,31,1989,7.5,11,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
36,Balázs Megyeri,hu HUN,GK,Göztepe,30,1990,2.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
37,Kağan Moradaoglu,tr TUR,GK,Trabzonspor,17,2003,1.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
38,Munir,ma MAR,GK,Hatayspor,31,1989,36.5,47,2,,,,,,,,,,,,,,,,,,,,,,,,Matches
39,Fernando Muslera,uy URU,GK,Galatasaray,34,1986,22.0,20,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
40,Kristoffer Nordfeldt,se SWE,GK,Gençlerbirliği,31,1989,36.0,66,5,,,,,,,,,,,,,,,,,,,,,,,,Matches
41,Ahmet Oytun Özdoğan,tr TUR,GK,Fenerbahçe,22,1998,1.0,3,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
42,Ertaç Özbir,tr TUR,GK,Yeni Mal'spor,30,1989,24.0,29,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
43,Arda Özçimen,tr TUR,GK,Göztepe,18,2002,3.0,7,1,,,,,,,,,,,,,,,,,,,,,,,,Matches
44,Aykut Özer,tr TUR,GK,Fatih Karagümrük,27,1993,8.7,9,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
45,Fatih Öztürk,tr TUR,GK,Galatasaray,33,1986,8.0,5,0,,,,,,,,,,,,,,,,,,,,,,,,Matches
46,Costel Pantilimon,ro ROU,GK,Denizlispor,33,1987,15.0,27,3,,,,,,,,,,,,,,,,,,,,,,,,Matches
47,Ricardo,br BRA,GK,Ankaragücü,27,1993,23.0,39,4,,,,,,,,,,,,,,,,,,,,,,,,Matches
