rk,player,nation,pos,squad,age,born,mp,starts,min,90s,ga,ga90,sota,saves,save,w,d,l,cs,cs_perf,pkatt,pka,pksv,pkm,save_penalt,matches
1,Übeyd Adıyaman,tr TUR,GK,Gençlerbirliği,22,1997,4,4,360,4.0,11,2.75,23,13,56.5,1,1,2,0,0.0,1,1,0,0,0.0,Matches
2,Gökhan Akkan,tr TUR,GK,Rizespor,25,1995,32,32,2815,31.3,54,1.73,169,121,71.0,9,10,13,7,21.9,6,5,1,0,16.7,Matches
3,Doğan Alemdar,tr TUR,GK,Kayserispor,17,2002,28,28,2520,28.0,36,1.29,116,88,74.1,7,11,10,9,32.1,8,6,2,0,25.0,Matches
4,Akın Alkan,,GK,Hatayspor,31,1989,4,3,316,3.5,7,1.99,17,13,76.5,1,1,1,1,33.3,3,3,0,0,0.0,Matches
5,Hüseyin Altıntaş,tr TUR,GK,Denizlispor,25,1994,3,2,229,2.5,8,3.14,18,11,61.1,0,0,2,0,0.0,1,1,0,0,0.0,Matches
6,Yavuz Aygün,tr TUR,GK,Fatih Karagümrük,24,1996,1,0,4,0.0,0,0.00,0,0,,0,0,0,0,,0,0,0,0,,Matches
7,Volkan Babacan,tr TUR,GK,Başakşehir,31,1988,19,19,1710,19.0,28,1.47,68,44,63.2,7,6,6,5,26.3,4,3,1,0,25.0,Matches
8,Göktuğ Bakırbaş,tr TUR,GK,Erzurum BB,24,1996,3,2,221,2.5,5,2.04,13,8,61.5,1,0,1,0,0.0,0,0,0,0,,Matches
9,Altay Bayındır,tr TUR,GK,Fenerbahçe,22,1998,33,33,2970,33.0,31,0.94,107,81,73.8,21,6,6,10,30.3,5,3,2,0,40.0,Matches
10,Eray Birniçan,tr TUR,GK,Konyaspor,32,1988,10,10,900,10.0,9,0.90,35,27,77.1,3,4,3,4,40.0,1,1,0,0,0.0,Matches
11,Ruud Boffin,be BEL,GK,Antalyaspor,32,1987,35,35,3149,35.0,50,1.43,145,101,68.3,8,14,13,12,34.3,6,4,2,0,33.3,Matches
12,Mustafa Burak Bozan,,GK,Gaziantep FK,19,2000,1,1,90,1.0,0,0.00,4,4,100.0,1,0,0,1,100.0,0,0,0,0,,Matches
