rk,player,nation,pos,squad,age,born,90s,crdy,crdr,2crdy,fls,fld,off,crs,int,tklw,pkwon,pkcon,og,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,28,1992,36.0,6,0,0,21,33,0,131,33,22,,,0,Matches
2,Yusuf Abdioğlu,tr TUR,DF,Hatayspor,30,1989,18.5,7,0,0,22,22,0,3,39,18,,,0,Matches
3,Vincent Aboubakar,cm CMR,FW,Beşiktaş,28,1992,23.6,0,0,0,14,29,19,13,4,3,,,0,Matches
4,Yaw Ackah,gh GHA,MF,Kayserispor,21,1999,5.3,3,0,0,15,4,0,0,8,9,,,0,Matches
5,Yaw Ackah,gh GHA,MF,Erzurum BB,21,1999,0.6,2,1,1,1,1,0,0,0,1,,,0,Matches
6,Afriyie Acquah,gh GHA,MF,Yeni Mal'spor,28,1992,27.3,9,0,0,55,37,1,13,44,24,,,0,Matches
7,Kemal Ademi,ch SUI,FW,Fenerbahçe,24,1996,2.0,1,0,0,6,1,1,0,0,1,,,0,Matches
8,Kemal Ademi,ch SUI,FW,Fatih Karagümrük,24,1996,3.1,0,0,0,8,2,2,0,1,0,,,0,Matches
9,Übeyd Adıyaman,tr TUR,GK,Gençlerbirliği,22,1997,4.0,1,0,0,1,0,0,0,0,0,,,0,Matches
10,Luka Adžić,rs SRB,MF,Ankaragücü,21,1998,4.4,2,0,0,13,2,3,23,4,3,,,0,Matches
11,Benik Afobe,cd COD,FW,Trabzonspor,27,1993,11.4,1,0,0,27,13,13,8,3,5,,,0,Matches
12,Cenk Ahmet Alkılıç,tr TUR,"MF,DF",Erzurum BB,32,1987,23.3,5,0,0,33,43,2,96,19,15,,,0,Matches
13,Serhat Ahmetoğlu,,"DF,MF",Fatih Karagümrük,18,2002,5.4,3,0,0,10,2,0,7,10,1,,,0,Matches
14,Ismaïl Aissati,ma MAR,MF,Denizlispor,31,1988,10.9,0,0,0,6,5,0,36,8,6,,,0,Matches
15,Emre Akbaba,tr TUR,MF,Galatasaray,27,1992,15.5,2,0,0,18,21,5,53,7,13,,,0,Matches
16,Mustafa Akbaş,tr TUR,DF,Gençlerbirliği,30,1990,3.2,0,0,0,1,3,0,1,3,3,,,0,Matches
17,Halil Akbunar,tr TUR,MF,Göztepe,26,1993,37.2,3,0,0,38,41,10,135,23,33,,,0,Matches
18,Murat Akça,tr TUR,DF,Yeni Mal'spor,30,1990,3.1,0,0,0,4,10,0,1,3,4,,,0,Matches
19,İbrahim Akdağ,tr TUR,MF,Erzurum BB,29,1991,11.1,1,0,0,22,29,0,24,13,13,,,0,Matches
20,İbrahim Akdağ,tr TUR,MF,Ankaragücü,29,1991,15.2,6,0,0,32,26,0,14,24,27,,,0,Matches
21,Babajide Akintola,ng NGA,MF,Hatayspor,24,1996,32.4,9,0,0,58,44,28,50,17,28,,,1,Matches
