rk,player,nation,pos,squad,age,born,90s,att,live,dead,fk,tb,sw,crs,ti,ck,in,out,str,cmp,off,blocks,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,28,1992,36.0,,,,,,,131,,,,,,,,,Matches
2,Yusuf Abdioğlu,tr TUR,DF,Hatayspor,30,1989,18.5,,,,,,,3,,,,,,,,,Matches
3,Vincent Aboubakar,cm CMR,FW,Beşiktaş,28,1992,23.6,,,,,,,13,,,,,,,,,Matches
4,Yaw Ackah,gh GHA,MF,Kayserispor,21,1999,5.3,,,,,,,0,,,,,,,,,Matches
5,Yaw Ackah,gh GHA,MF,Erzurum BB,21,1999,0.6,,,,,,,0,,,,,,,,,Matches
6,Afriyie Acquah,gh GHA,MF,Yeni Mal'spor,28,1992,27.3,,,,,,,13,,,,,,,,,Matches
7,Kemal Ademi,ch SUI,FW,Fenerbahçe,24,1996,2.0,,,,,,,0,,,,,,,,,Matches
8,Kemal Ademi,ch SUI,FW,Fatih Karagümrük,24,1996,3.1,,,,,,,0,,,,,,,,,Matches
9,Übeyd Adıyaman,tr TUR,GK,Gençlerbirliği,22,1997,4.0,,,,,,,0,,,,,,,,,Matches
10,Luka Adžić,rs SRB,MF,Ankaragücü,21,1998,4.4,,,,,,,23,,,,,,,,,Matches
11,Benik Afobe,cd COD,FW,Trabzonspor,27,1993,11.4,,,,,,,8,,,,,,,,,Matches
12,Cenk Ahmet Alkılıç,tr TUR,"MF,DF",Erzurum BB,32,1987,23.3,,,,,,,96,,,,,,,,,Matches
13,Serhat Ahmetoğlu,,"DF,MF",Fatih Karagümrük,18,2002,5.4,,,,,,,7,,,,,,,,,Matches
14,Ismaïl Aissati,ma MAR,MF,Denizlispor,31,1988,10.9,,,,,,,36,,,,,,,,,Matches
15,Emre Akbaba,tr TUR,MF,Galatasaray,27,1992,15.5,,,,,,,53,,,,,,,,,Matches
16,Mustafa Akbaş,tr TUR,DF,Gençlerbirliği,30,1990,3.2,,,,,,,1,,,,,,,,,Matches
17,Halil Akbunar,tr TUR,MF,Göztepe,26,1993,37.2,,,,,,,135,,,,,,,,,Matches
