rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp_total,totdist,prgdist,cmp_short,att_short,cmp_medium,att_medium,cmp_long,att_long,ast,a_xag,kp,1_3,ppa,crspa,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,30,1992,14.7,,,,,,,,,,,,0,,,,,,Matches
2,Patrick van Aanholt,nl NED,DF,Galatasaray,31,1990,8.9,,,,,,,,,,,,2,,,,,,Matches
3,Kristal Abazaj,al ALB,MF,İstanbulspor,26,1996,2.1,,,,,,,,,,,,0,,,,,,Matches
4,Vincent Aboubakar,cm CMR,FW,Beşiktaş,30,1992,14.6,,,,,,,,,,,,2,,,,,,Matches
5,Yaw Ackah,gh GHA,MF,Kayserispor,23,1999,4.7,,,,,,,,,,,,0,,,,,,Matches
6,Sam Adekugbe,ca CAN,DF,Hatayspor,27,1995,15.2,,,,,,,,,,,,0,,,,,,Matches
7,Sam Adekugbe,ca CAN,DF,Galatasaray,27,1995,5.7,,,,,,,,,,,,1,,,,,,Matches
8,Luiz Adriano,br BRA,"MF,FW",Antalyaspor,35,1987,13.1,,,,,,,,,,,,1,,,,,,Matches
9,Samet Akaydın,tr TUR,DF,Fenerbahçe,28,1994,16.8,,,,,,,,,,,,0,,,,,,Matches
10,Samet Akaydın,tr TUR,DF,Adana Demirspor,28,1994,15.7,,,,,,,,,,,,0,,,,,,Matches
11,Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,29,1992,19.1,,,,,,,,,,,,4,,,,,,Matches
12,Emre Akbaba,tr TUR,MF,Galatasaray,29,1992,1.9,,,,,,,,,,,,0,,,,,,Matches
13,Ümit Akdag,ro ROU,DF,Alanyaspor,18,2003,0.5,,,,,,,,,,,,0,,,,,,Matches
14,Yunus Akgün,tr TUR,MF,Galatasaray,22,2000,11.3,,,,,,,,,,,,2,,,,,,Matches
15,Babajide Akintola,ng NGA,MF,Adana Demirspor,26,1996,18.1,,,,,,,,,,,,1,,,,,,Matches
16,Gökhan Akkan,tr TUR,GK,Ankaragücü,27,1995,22.3,,,,,,,,,,,,0,,,,,,Matches
17,Hamza Akman,tr TUR,MF,Galatasaray,17,2004,0.1,,,,,,,,,,,,0,,,,,,Matches
18,Özgur Aksaka,,MF,Galatasaray,19,2003,0.0,,,,,,,,,,,,0,,,,,,Matches
19,Engin Aksoy,tr TUR,DF,Hatayspor,18,2003,1.1,,,,,,,,,,,,0,,,,,,Matches
20,Fatih Aksoy,tr TUR,DF,Alanyaspor,24,1997,21.2,,,,,,,,,,,,0,,,,,,Matches
21,Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,23,1998,28.8,,,,,,,,,,,,11,,,,,,Matches
22,Ufuk Akyol,de GER,MF,Antalyaspor,24,1997,18.0,,,,,,,,,,,,0,,,,,,Matches
23,Mehmet Albayrak,tr TUR,MF,Sivasspor,18,2004,0.1,,,,,,,,,,,,0,,,,,,Matches
24,Danijel Aleksić,rs SRB,MF,Başakşehir,31,1991,18.2,,,,,,,,,,,,2,,,,,,Matches
25,Rúnar Alex Rúnarsson,is ISL,GK,Alanyaspor,27,1995,29.4,,,,,,,,,,,,1,,,,,,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp,Att,Cmp,Att,Ast,A-xAG,KP,1/3,PPA,CrsPA,Matches
26,Mehmet Ali Büyüksayar,tr TUR,FW,Konyaspor,18,2004,1.3,,,,,,,,,,,,0,,,,,,Matches
27,Hasan Ali Kaldırım,tr TUR,"DF,MF",Ankaragücü,32,1989,5.2,,,,,,,,,,,,0,,,,,,Matches
28,Hasan Ali Kaldırım,tr TUR,DF,Başakşehir,32,1989,5.4,,,,,,,,,,,,0,,,,,,Matches
29,Ömer Ali Şahiner,tr TUR,"DF,MF",Başakşehir,30,1992,21.6,,,,,,,,,,,,1,,,,,,Matches
30,Kerim Alıcı,tr TUR,DF,Hatayspor,25,1997,3.1,,,,,,,,,,,,1,,,,,,Matches
31,Ezgjan Alioski,mk MKD,"DF,MF",Fenerbahçe,30,1992,9.4,,,,,,,,,,,,0,,,,,,Matches
32,Dele Alli,eng ENG,MF,Beşiktaş,26,1996,7.9,,,,,,,,,,,,0,,,,,,Matches
33,Barış Alper Yılmaz,tr TUR,"MF,FW",Galatasaray,22,2000,9.5,,,,,,,,,,,,2,,,,,,Matches
34,Taha Altıkardeş,tr TUR,DF,Trabzonspor,18,2003,2.0,,,,,,,,,,,,0,,,,,,Matches
35,Amilton,br BRA,MF,Konyaspor,32,1989,2.4,,,,,,,,,,,,0,,,,,,Matches
36,Karol Angielski,pl POL,FW,Sivasspor,26,1996,3.7,,,,,,,,,,,,0,,,,,,Matches
37,Taylan Antalyalı,tr TUR,MF,Ankaragücü,27,1995,23.6,,,,,,,,,,,,4,,,,,,Matches
38,Taylan Antalyalı,tr TUR,MF,Galatasaray,27,1995,0.1,,,,,,,,,,,,0,,,,,,Matches
