rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot_standa,sh_90,sot_90,g_sh,g_sot,dist,pk,pkatt,matches
1,Rayane Aabid,fr FRA,MF,Hatayspor,31,1992,2.3,1,2,1,50.0,0.85,0.43,0.50,1.00,,0,0,Matches
2,Mehdi Abeid,dz ALG,"MF,FW",Başakşehir,30,1992,8.9,3,16,6,37.5,1.80,0.67,0.19,0.50,,0,0,Matches
3,Pape Abou Cissé,sn SEN,DF,Adana Demirspor,27,1995,8.0,0,6,1,16.7,0.75,0.12,0.00,0.00,,0,0,Matches
4,Vincent Aboubakar,cm CMR,FW,Beşiktaş,31,1992,11.9,5,29,12,41.4,2.43,1.00,0.14,0.33,,1,2,Matches
5,Giorgi Aburjania,ge GEO,MF,Hatayspor,28,1995,13.9,0,8,3,37.5,0.58,0.22,0.00,0.00,,0,0,Matches
6,Yaw Ackah,gh GHA,MF,Kayserispor,24,1999,9.3,0,3,0,0.0,0.32,0.00,0.00,,,0,0,Matches
7,Bryan Acosta,hn HON,MF,Gaziantep FK,29,1993,0.4,0,0,0,,0.00,0.00,,,,0,0,Matches
8,Youssef Aït Bennasser,ma MAR,MF,Samsunspor,27,1996,21.1,1,19,2,10.5,0.90,0.09,0.05,0.50,,0,0,Matches
9,Albian Ajeti,ch SUI,FW,Gaziantep FK,26,1997,0.7,1,2,1,50.0,3.05,1.53,0.50,1.00,,0,0,Matches
10,Abat Ajymbetow,kz KAZ,FW,Adana Demirspor,27,1995,3.0,1,8,2,25.0,2.67,0.67,0.13,0.50,,0,0,Matches
11,Samet Akaydın,tr TUR,DF,Fenerbahçe,29,1994,6.3,0,3,1,33.3,0.47,0.16,0.00,0.00,,0,0,Matches
12,Emre Akbaba,tr TUR,"MF,FW",Adana Demirspor,30,1992,29.7,7,62,19,30.6,2.09,0.64,0.10,0.32,,1,1,Matches
13,Halil Akbunar,tr TUR,"MF,FW",Pendikspor,29,1993,31.0,5,54,20,37.0,1.74,0.65,0.09,0.25,,0,0,Matches
14,Murat Akça,tr TUR,DF,Pendikspor,33,1990,7.7,0,4,0,0.0,0.52,0.00,0.00,,,0,0,Matches
15,Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
16,İbrahim Akdağ,tr TUR,MF,Pendikspor,32,1991,10.4,0,8,0,0.0,0.77,0.00,0.00,,,0,0,Matches
17,İbrahim Akdağ,tr TUR,"MF,DF",Sivasspor,32,1991,8.0,0,5,1,20.0,0.62,0.12,0.00,0.00,,0,0,Matches
18,Yunus Akgün,tr TUR,MF,Galatasaray,23,2000,0.3,0,1,1,100.0,3.33,3.33,0.00,0.00,,0,0,Matches
19,Babajide Akintola,ng NGA,MF,Adana Demirspor,27,1996,10.1,2,17,4,23.5,1.69,0.40,0.12,0.50,,0,0,Matches
20,Babajide Akintola,ng NGA,MF,Rizespor,27,1996,11.4,1,20,4,20.0,1.75,0.35,0.05,0.25,,0,0,Matches
21,Gökhan Akkan,tr TUR,GK,Rizespor,28,1995,30.3,0,0,0,,0.00,0.00,,,,0,0,Matches
22,Efe Akman,tr TUR,MF,Galatasaray,17,2006,0.0,0,0,0,,0.00,0.00,,,,0,0,Matches
23,Engin Aksoy,tr TUR,DF,Hatayspor,19,2003,4.0,0,1,0,0.0,0.25,0.00,0.00,,,0,0,Matches
24,Fatih Aksoy,tr TUR,DF,Alanyaspor,25,1997,10.7,1,4,3,75.0,0.37,0.28,0.25,0.33,,0,0,Matches
25,Yılmaz Aktaş,de GER,GK,Adana Demirspor,20,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,PK,PKatt,Matches
26,Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,24,1998,27.4,12,79,29,36.7,2.88,1.06,0.11,0.31,,3,4,Matches
27,Ufuk Akyol,de GER,MF,Antalyaspor,25,1997,7.5,0,3,0,0.0,0.40,0.00,0.00,,,0,0,Matches
