rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90,matches
1,Vincent Aboubakar,cm CMR,FW,Hatayspor,32,1992,25,22,1969,21.9,7,2,9,5,2,2,3,0,0.32,0.09,0.41,0.23,0.32,Matches
2,Yaw Ackah,gh GHA,MF,Kayserispor,25,1999,22,2,457,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3,Rüzgar Adıyaman,,GK,BB Bodrumspor,17,2006,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
4,Youssef Aït Bennasser,ma MAR,MF,Samsunspor,28,1996,30,29,2460,27.3,1,2,3,0,1,1,6,0,0.04,0.07,0.11,0.00,0.07,Matches
5,Arlind Ajeti,al ALB,DF,BB Bodrumspor,30,1993,29,28,2528,28.1,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
6,Abat Ajymbetow,kz KAZ,FW,Adana Demirspor,28,1995,27,13,1352,15.0,5,0,5,5,0,0,5,0,0.33,0.00,0.33,0.33,0.33,Matches
7,Samet Akaydın,tr TUR,DF,Fenerbahçe,30,1994,5,4,375,4.2,1,0,1,1,0,0,3,0,0.24,0.00,0.24,0.24,0.24,Matches
8,Samet Akaydın,tr TUR,DF,Rizespor,30,1994,14,13,1000,11.1,1,0,1,1,0,0,5,1,0.09,0.00,0.09,0.09,0.09,Matches
9,Emre Akbaba,tr TUR,MF,Eyüpspor,31,1992,36,26,2205,24.5,7,2,9,4,3,3,3,0,0.29,0.08,0.37,0.16,0.24,Matches
10,Halil Akbunar,tr TUR,MF,Eyüpspor,30,1993,29,13,1227,13.6,3,2,5,3,0,0,3,0,0.22,0.15,0.37,0.22,0.37,Matches
11,Yusuf Akçiçek,tr TUR,DF,Fenerbahçe,18,2006,9,5,418,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
12,Yunus Akgün,tr TUR,MF,Galatasaray,24,2000,30,25,2102,23.4,7,10,17,7,0,0,4,0,0.30,0.43,0.73,0.30,0.73,Matches
13,Babajide Akintola,ng NGA,MF,Rizespor,28,1996,32,27,2153,23.9,3,5,8,3,0,0,7,0,0.13,0.21,0.33,0.13,0.33,Matches
14,Gökhan Akkan,tr TUR,GK,BB Bodrumspor,29,1995,4,4,299,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
15,Gökhan Akkan,tr TUR,GK,Rizespor,29,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
16,Efe Akman,tr TUR,MF,Galatasaray,18,2006,4,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
17,Hamza Akman,tr TUR,MF,Eyüpspor,19,2004,10,0,98,1.1,0,1,1,0,0,0,0,0,0.00,0.92,0.92,0.00,0.92,Matches
18,Deniz Aksoy,,FW,Hatayspor,17,2007,4,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
19,Fatih Aksoy,tr TUR,"DF,MF",Alanyaspor,26,1997,25,20,1578,17.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
20,Oğuzhan Aksoy,,MF,Sivasspor,17,2006,5,1,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
21,Adnan Aktas,,DF,Kasımpaşa,17,2006,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
22,Aksel Aktas,tr TUR,"MF,DF",Adana Demirspor,25,1999,16,3,405,4.5,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
23,Kerem Aktürkoğlu,tr TUR,MF,Galatasaray,25,1998,3,2,173,1.9,2,2,4,2,0,0,0,0,1.04,1.04,2.08,1.04,2.08,Matches
24,Kaan Akyazi,,FW,Konyaspor,18,2005,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
25,Ufuk Akyol,de GER,MF,Konyaspor,26,1997,6,3,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
26,Danijel Aleksić,rs SRB,MF,Konyaspor,33,1991,29,18,1584,17.6,4,0,4,4,0,0,5,0,0.23,0.00,0.23,0.23,0.23,Matches
27,Hasan Ali Kaldırım,tr TUR,"DF,MF",Kayserispor,34,1989,25,18,1595,17.7,2,1,3,2,0,0,4,0,0.11,0.06,0.17,0.11,0.17,Matches
28,Muhammet Ali Özbaskıcı,tr TUR,MF,Samsunspor,18,2005,3,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
29,Ömer Ali Şahiner,tr TUR,"DF,MF",Başakşehir,32,1992,22,18,1469,16.3,1,1,2,1,0,0,6,0,0.06,0.06,0.12,0.06,0.12,Matches
