squad,pl,age,poss,mp,starts,min,90s,gls,ast,g_plus_a,g_pk,pk,pkatt,crdy,crdr,gls_per90,ast_per90,g_plus_a_per90,g_pk_per90,g_plus_a_pk_per90
Adana Demirspor,40,23.7,44.5,36,396,3240,36.0,34,20,54,29,5,7,79,3,0.94,0.56,1.5,0.81,1.36
Alanyaspor,29,28.6,51.3,36,396,3240,36.0,41,28,69,35,6,6,97,2,1.14,0.78,1.92,0.97,1.75
Antalyaspor,31,28.8,52.0,36,396,3240,36.0,37,26,63,33,4,5,75,2,1.03,0.72,1.75,0.92,1.64
Başakşehir,29,28.0,53.1,36,396,3240,36.0,60,37,97,52,8,13,85,5,1.67,1.03,2.69,1.44,2.47
BB Bodrumspor,31,27.9,41.6,36,396,3240,36.0,23,15,38,18,5,7,66,4,0.64,0.42,1.06,0.5,0.92
Beşiktaş,32,28.8,56.4,36,396,3240,36.0,57,37,94,45,12,13,66,4,1.58,1.03,2.61,1.25,2.28
Eyüpspor,33,29.5,52.7,36,396,3240,36.0,52,34,86,48,4,7,98,3,1.44,0.94,2.39,1.33,2.28
Fenerbahçe,33,29.0,54.4,36,396,3240,36.0,88,55,143,78,10,11,79,1,2.44,1.53,3.97,2.17,3.69
Galatasaray,35,28.5,57.5,36,396,3240,36.0,85,60,145,73,12,13,83,3,2.36,1.67,4.03,2.03,3.69
Gaziantep FK,34,27.8,45.9,36,396,3240,36.0,45,31,76,40,5,5,102,5,1.25,0.86,2.11,1.11,1.97
Göztepe,28,25.8,44.3,36,396,3240,36.0,57,38,95,51,6,8,79,3,1.58,1.06,2.64,1.42,2.47
Hatayspor,32,26.9,47.4,36,396,3240,36.0,46,30,76,41,5,6,99,5,1.28,0.83,2.11,1.14,1.97
Kasımpaşa,29,28.9,54.4,36,396,3240,36.0,60,40,100,51,9,9,95,3,1.67,1.11,2.78,1.42,2.53
Kayserispor,28,29.3,47.3,36,396,3240,36.0,43,36,79,41,2,3,98,7,1.19,1.0,2.19,1.14,2.14
Konyaspor,32,28.9,45.7,36,396,3240,36.0,44,37,81,43,1,3,97,5,1.22,1.03,2.25,1.19,2.22
Rizespor,28,26.6,51.1,36,396,3240,36.0,47,40,87,44,3,6,89,5,1.31,1.11,2.42,1.22,2.33
Samsunspor,25,28.0,49.7,36,396,3240,36.0,54,43,97,51,3,7,88,2,1.5,1.19,2.69,1.42,2.61
Sivasspor,32,30.0,44.9,36,396,3240,36.0,43,33,76,41,2,3,91,10,1.19,0.92,2.11,1.14,2.06
Trabzonspor,37,27.1,56.8,36,396,3240,36.0,58,47,105,52,6,7,78,2,1.61,1.31,2.92,1.44,2.75
